Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
beautytap.ShopAction.selectProductOnProductList,Chrome 68.0.3440.106,,2018-09-04 14:22:57,2018-09-04 14:23:05,7.942s,PASSED
beautytap.ShopAction.selectProductVariation,Chrome 68.0.3440.106,,2018-09-04 14:23:05,2018-09-04 14:23:07,1.451s,PASSED
beautytap.ShopAction.VerifyProductDetails,Chrome 68.0.3440.106,VP2: Verify product detail page display,2018-09-04 14:23:07,2018-09-04 14:23:08,1.168s,PASSED
Statement - currentNumberItemInCart = CustomKeywords.beautytap.ShopAction.getNumberItemInCart(),Chrome 68.0.3440.106,,2018-09-04 14:23:08,2018-09-04 14:23:39,31.372s,PASSED
beautytap.ShopAction.addProductToCart,Chrome 68.0.3440.106,,2018-09-04 14:23:39,2018-09-04 14:23:47,7.931s,PASSED
beautytap.ShopAction.VerifyNumberItemInCart,Chrome 68.0.3440.106,VP3:Verify product is added to card: cart number increase and message display “PRODUCT_NAME” has been added to your cart.,2018-09-04 14:23:47,2018-09-04 14:23:47,0.067s,PASSED
beautytap.ShopAction.VerifyProductIsAddedToCart,Chrome 68.0.3440.106,,2018-09-04 14:23:47,2018-09-04 14:23:47,0.037s,PASSED
beautytap.ShopAction.goToCart,Chrome 68.0.3440.106,,2018-09-04 14:23:47,2018-09-04 14:23:52,4.626s,PASSED
beautytap.ShopAction.VerifyProductInCart,Chrome 68.0.3440.106,VP4:Verify product is added to cart with correct price and quantity,2018-09-04 14:23:52,2018-09-04 14:23:52,0.216s,PASSED
beautytap.ShopAction.loginAmazonPay,Chrome 68.0.3440.106,Login amazonPay,2018-09-04 14:23:52,2018-09-04 14:24:27,35.419s,PASSED
beautytap.ShopAction.selectShipping,Chrome 68.0.3440.106,,2018-09-04 14:24:27,2018-09-04 14:24:33,5.205s,PASSED
beautytap.ShopAction.VerifyOrderDetailsOnCheckout,Chrome 68.0.3440.106,VP5: Verify order details on checkout page,2018-09-04 14:24:33,2018-09-04 14:24:33,0.316s,PASSED
beautytap.ShopAction.checkoutViaAmazonPay,Chrome 68.0.3440.106,Checkout via amazonPay,2018-09-04 14:24:33,2018-09-04 14:24:47,14.074s,PASSED
beautytap.ShopAction.VerifyOrderReceivedDetails,Chrome 68.0.3440.106,VP6: Verify order details on order received Page,2018-09-04 14:24:47,2018-09-04 14:24:47,0.339s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-04 14:24:47,2018-09-04 14:24:48,0.883s,PASSED
